Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P4_H8_EDA;P1_H8_EDA;Z1_Bad_H8_EDA;Z1_RLT_H8_EDA;Z1_TWW_H8_EDA;Z_EV_H8_EDA;Z_H8_EDA;Z_EA_H8_EDA;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;Wh;;
;;;;;;;;;43.831,00;44.197,00; Summe ;2.168,44;860,18;2.589,00;71.069,00;1.342.913,00;3.480.987,00;5.063.331,00; -     ; -     ; -     
2020;1;1;Mittwoch;1;Mi 01.01.20;22:30;22;1;01.01.2020 22:30;01.01.2020 22:45;;0,07;0,03;0;1;7;67;78;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;22:45;22;1;01.01.2020 22:45;01.01.2020 23:00;;0,06;0,03;0;1;6;77;89;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;23:00;23;1;01.01.2020 23:00;01.01.2020 23:15;;0,06;0,04;0;0;7;150;163;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;23:15;23;1;01.01.2020 23:15;01.01.2020 23:30;;0,06;0,03;0;1;6;73;84;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;23:30;23;1;01.01.2020 23:30;01.01.2020 23:45;;0,07;0,03;0;1;7;67;80;;;
2020;1;1;Mittwoch;1;Mi 01.01.20;23:45;23;1;01.01.2020 23:45;02.01.2020 00:00;;0,06;0,03;0;1;7;116;128;;;
2020;1;1;Donnerstag;2;Do 02.01.20;00:00;0;1;02.01.2020 00:00;02.01.2020 00:15;;0,06;0;0;1;5;101;112;;;
2020;1;1;Donnerstag;2;Do 02.01.20;00:15;0;1;02.01.2020 00:15;02.01.2020 00:30;;0,06;0;0;0;6;112;123;;;
2020;1;1;Donnerstag;2;Do 02.01.20;00:30;0;1;02.01.2020 00:30;02.01.2020 00:45;;0,07;0;0;1;6;62;74;;;
2020;1;1;Donnerstag;2;Do 02.01.20;00:45;0;1;02.01.2020 00:45;02.01.2020 01:00;;0,06;0;0;1;5;65;76;;;
2020;1;1;Donnerstag;2;Do 02.01.20;01:00;1;1;02.01.2020 01:00;02.01.2020 01:15;;0,06;0;0;1;6;61;71;;;
2020;1;1;Donnerstag;2;Do 02.01.20;01:15;1;1;02.01.2020 01:15;02.01.2020 01:30;;0,06;0;0;1;6;70;82;;;
2020;1;1;Donnerstag;2;Do 02.01.20;01:30;1;1;02.01.2020 01:30;02.01.2020 01:45;;0,07;0;0;0;6;53;65;;;
2020;1;1;Donnerstag;2;Do 02.01.20;01:45;1;1;02.01.2020 01:45;02.01.2020 02:00;;0,06;0;0;1;5;52;62;;;
2020;1;1;Donnerstag;2;Do 02.01.20;02:00;2;1;02.01.2020 02:00;02.01.2020 02:15;;0,06;0;0;1;6;74;85;;;
2020;1;1;Donnerstag;2;Do 02.01.20;02:15;2;1;02.01.2020 02:15;02.01.2020 02:30;;0,06;0;0;1;56;58;121;;;
2020;1;1;Donnerstag;2;Do 02.01.20;02:30;2;1;02.01.2020 02:30;02.01.2020 02:45;;0,07;0;0;1;114;44;163;;;
2020;1;1;Donnerstag;2;Do 02.01.20;02:45;2;1;02.01.2020 02:45;02.01.2020 03:00;;0,06;0;0;0;120;47;174;;;
