,0,1,2,3,4,5,6,7,8
233,55,58,77,63,56,68,74,56,1
234,56,68,74,56,57,77,63,55,1
235,57,77,63,55,68,73,56,56,1
236,68,73,56,56,85,66,59,71,1
237,85,66,59,71,77,58,60,79,1
238,77,58,60,79,67,58,79,83,1
239,67,58,79,83,89,98,150,165,2
240,47,43,31,43,43,31,48,36,0
241,43,31,48,36,30,43,46,30,0
242,30,43,46,30,32,51,36,31,0
243,32,51,36,31,41,47,30,32,0
244,41,47,30,32,50,36,30,42,0
245,50,36,30,42,47,30,48,42,0
246,47,30,48,42,37,56,52,43,0
247,37,56,52,43,30,40,46,36,0
248,30,40,46,36,51,93,76,71,1
249,51,93,76,71,57,64,46,46,1
250,57,64,46,46,344,345,115,114,2
251,344,345,115,114,101,95,107,107,2
252,31,51,40,30,45,45,29,33,0
253,45,45,29,33,49,38,29,42,0
254,49,38,29,42,46,30,31,49,0
255,46,30,31,49,38,30,41,47,0
256,38,30,41,47,30,31,49,38,0
257,30,31,49,38,30,41,47,31,0
258,30,41,47,31,31,50,43,34,0
259,31,50,43,34,37,49,34,39,0
260,37,49,34,39,103,68,79,174,2
261,103,68,79,174,79,58,83,277,2
262,79,58,83,277,318,183,92,69,2
263,318,183,92,69,81,84,66,74,2
264,50,40,30,45,40,31,49,34,0
265,40,31,49,34,30,45,43,30,0
266,30,45,43,30,37,49,34,30,0
267,37,49,34,30,47,43,31,37,0
268,47,43,31,37,50,33,31,47,0
269,50,33,31,47,43,31,38,50,0
270,43,31,38,50,33,31,48,43,0
271,33,31,48,43,34,38,50,33,0
272,34,38,50,33,43,69,69,44,1
273,43,69,69,44,84,64,62,51,1
274,84,64,62,51,57,57,45,62,0
275,57,57,45,62,77,49,142,56,1
276,36,39,49,33,34,50,36,30,0
277,34,50,36,30,41,50,30,30,0
278,41,50,30,30,48,39,30,39,0
279,48,39,30,39,49,30,30,48,0
280,49,30,30,48,41,30,39,49,0
281,41,30,39,49,32,30,49,41,0
282,32,30,49,41,31,39,50,32,0
283,31,39,50,32,33,77,63,71,1
284,33,77,63,71,51,56,37,46,1
285,51,56,37,46,55,37,48,60,0
286,55,37,48,60,36,66,86,62,1
287,36,66,86,62,41,48,93,604,2
288,49,37,32,48,36,37,48,30,0
289,36,37,48,30,32,50,49,83,0
290,32,50,49,83,75,55,51,40,1
291,75,55,51,40,36,49,74,147,2
292,36,49,74,147,130,97,377,338,2
293,130,97,377,338,399,183,33,50,2
294,399,183,33,50,33,40,47,31,1
295,33,40,47,31,47,54,33,33,0
296,47,54,33,33,57,91,560,505,1
297,57,91,560,505,107,91,116,147,2
298,107,91,116,147,102,132,241,262,2
299,102,132,241,262,274,281,304,267,2
300,57,46,32,43,52,31,32,51,0
301,52,31,32,51,34,41,47,31,0
302,34,41,47,31,38,51,35,32,0
303,38,51,35,32,50,41,32,44,0
304,50,41,32,44,47,32,37,51,0
305,47,32,37,51,182,278,52,43,2
306,182,278,52,43,32,41,94,494,1
307,32,41,94,494,66,78,82,440,2
308,66,78,82,440,284,287,182,118,2
309,284,287,182,118,119,116,105,152,2
310,119,116,105,152,71,84,112,96,2
311,71,84,112,96,92,110,104,92,2
312,71,494,199,52,34,32,55,61,2
313,34,32,55,61,41,77,79,61,1
314,41,77,79,61,146,59,66,36,2
315,146,59,66,36,30,41,41,30,1
316,30,41,41,30,46,39,29,39,0
317,46,39,29,39,49,29,30,49,0
318,49,29,30,49,38,29,42,46,0
319,38,29,42,46,29,34,50,34,0
